long_name,height_cm,weight_kg,age,overall,potential,sofifa_id,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Formose Mendy,191,79,21,67,77,259215.0,SUB, 1667,54,32.0,69.0,68.0,30.0,52,34,25,53,66,68,79,57,54,52,35,75,69,74,35,55,61,30,37.0,37.0,62,69,67,8.0,12.0,7.0,7.0,15.0
Kalidou Koulibaly,187,89,31,87,87,201024.0,RCB, 1667,38,25.0,84.0,71.0,14.0,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60.0,33.0,90,89,86,7.0,11.0,7.0,13.0,5.0
Pape Abou Cissé,197,90,26,76,79,228386.0,SUB, 1667,27,23.0,76.0,64.0,33.0,39,29,33,58,49,75,80,49,68,35,56,81,71,92,27,88,71,39,30.0,38.0,73,77,76,14.0,16.0,9.0,15.0,13.0
Idrissa Gana Gueye,174,66,32,82,82,193474.0,LCM, 1667,60,60.0,69.0,80.0,36.0,76,60,71,76,79,69,66,78,81,81,82,83,85,68,72,83,86,72,70.0,55.0,82,87,83,8.0,6.0,8.0,12.0,13.0
Nampalys Mendy,167,73,30,75,75,198861.0,CDM, 1667,61,49.0,65.0,79.0,41.0,71,69,54,72,78,71,57,75,72,87,61,76,73,67,59,77,72,56,62.0,55.0,73,75,73,14.0,12.0,9.0,12.0,15.0
Nicolas Jackson,186,78,21,71,85,259197.0,RES, 1667,45,75.0,70.0,65.0,68.0,74,45,47,54,71,75,76,74,66,69,73,73,75,72,71,50,35,69,60.0,58.0,41,38,38,12.0,7.0,12.0,7.0,7.0
Cheikhou Kouyaté,189,83,32,77,77,186801.0,RCM, 1667,53,63.0,78.0,70.0,50.0,68,39,47,66,73,53,65,58,79,54,74,77,86,85,63,87,78,69,67.0,52.0,77,79,75,15.0,8.0,9.0,12.0,9.0
Boulaye Dia,180,75,25,79,83,246242.0,ST, 1667,50,82.0,75.0,74.0,71.0,78,56,49,49,78,80,86,68,76,67,79,76,73,83,69,62,22,80,65.0,77.0,28,17,14,11.0,10.0,15.0,14.0,10.0
Ismaila Pathé Ciss,186,71,28,72,72,250858.0,SUB, 1667,48,55.0,75.0,73.0,32.0,60,33,30,68,67,65,61,55,69,58,70,83,87,80,51,78,70,64,60.0,40.0,67,73,71,13.0,5.0,11.0,14.0,13.0
Fodé Ballo-Touré,182,70,25,72,76,236723.0,LB, 1667,70,49.0,58.0,72.0,39.0,73,68,49,64,72,86,84,70,65,70,56,62,75,70,52,74,65,64,64.0,53.0,66,71,66,14.0,14.0,7.0,11.0,8.0
Iliman Ndiaye,180,70,22,69,79,261188.0,RES, 1667,52,68.0,41.0,65.0,48.0,77,68,55,59,75,79,80,77,67,74,65,46,66,59,56,31,34,64,66.0,48.0,37,28,22,7.0,9.0,7.0,15.0,8.0
Ismail Joshua Jakobs,184,75,22,72,80,252293.0,SUB, 1667,68,64.0,56.0,68.0,41.0,75,54,30,49,72,86,84,73,69,67,65,49,77,66,44,65,67,64,56.0,55.0,65,67,67,15.0,8.0,10.0,7.0,11.0
Krépin Diatta,175,69,23,73,80,238227.0,SUB, 1667,66,68.0,60.0,67.0,68.0,76,62,58,63,72,90,91,89,70,76,73,90,83,61,72,57,48,65,69.0,59.0,55,32,42,10.0,8.0,11.0,11.0,12.0
Édouard Mendy,197,86,30,86,87,234642.0,GK, 1667,10,5.0,10.0,47.0,9.0,18,13,14,54,31,33,36,50,84,33,60,39,37,72,9,22,13,6,52.0,13.0,10,11,13,84.0,82.0,80.0,85.0,88.0
Pape Matar Sarr,184,70,19,71,82,259868.0,SUB, 1667,58,62.0,58.0,78.0,54.0,73,54,49,72,74,71,67,64,68,70,68,59,71,62,66,67,64,68,65.0,50.0,67,70,66,14.0,8.0,14.0,8.0,8.0
Ismaïla Sarr,185,76,24,78,84,235353.0,RW, 1667,68,75.0,44.0,69.0,76.0,82,78,55,59,79,94,94,78,75,74,82,48,73,71,78,53,17,73,68.0,58.0,25,16,21,14.0,13.0,7.0,6.0,9.0
Famara Diédhiou,189,80,29,70,70,223283.0,SUB, 1667,33,72.0,76.0,58.0,63.0,67,53,39,42,69,53,69,60,65,58,74,73,59,86,58,61,22,72,50.0,74.0,37,22,16,7.0,10.0,15.0,11.0,12.0
Cheikh Ahmadou Bamba Mbacke Dieng,178,72,21,73,80,261084.0,SUB, 1667,62,72.0,73.0,63.0,74.0,68,54,55,47,74,77,82,67,69,71,85,74,59,57,68,42,32,72,64.0,73.0,24,31,27,10.0,14.0,11.0,8.0,15.0
Youssouf Sabaly,173,67,29,75,75,215699.0,RB, 1667,72,43.0,55.0,74.0,37.0,71,59,38,60,68,76,77,72,73,82,53,70,76,68,44,67,74,70,45.0,43.0,74,76,74,9.0,11.0,8.0,15.0,11.0
Abdou Diallo,187,79,26,77,79,225711.0,LCB, 1667,68,38.0,78.0,78.0,39.0,72,58,32,76,76,70,74,71,76,70,51,84,73,77,24,77,77,61,69.0,41.0,76,77,80,12.0,7.0,7.0,7.0,8.0
Alfred Benjamin Gomis,196,80,28,77,79,201976.0,SUB, 1667,15,16.0,11.0,34.0,11.0,15,12,12,41,24,43,41,60,73,54,53,78,33,65,15,16,21,16,61.0,23.0,18,14,10,77.0,76.0,71.0,76.0,76.0
Moustapha Name,183,73,27,71,74,256692.0,RES, 1667,68,61.0,53.0,72.0,51.0,68,58,69,70,71,68,69,73,71,71,71,59,87,74,62,68,66,67,69.0,70.0,67,67,62,12.0,12.0,6.0,6.0,10.0
Mamadou Loum Ndiaye,188,80,25,73,80,245021.0,SUB, 1667,42,40.0,69.0,74.0,38.0,61,50,42,67,66,42,44,49,70,42,78,75,75,81,63,85,73,50,57.0,47.0,71,75,66,11.0,13.0,11.0,8.0,6.0
Pape Alassane Gueye,187,79,23,76,82,241707.0,SUB, 1667,58,37.0,63.0,76.0,45.0,71,46,35,72,74,62,64,55,76,52,75,73,79,79,43,79,75,63,65.0,42.0,70,76,74,12.0,12.0,12.0,14.0,12.0
Remko Pasveer,188,88,38,79,79,162328.0,GK, Netherlands,15,12.0,16.0,39.0,18.0,18,18,14,52,37,46,38,42,69,36,63,65,35,70,16,30,13,15,61.0,28.0,14,18,20,77.0,78.0,84.0,80.0,79.0
Jurriën David Norman Timber,179,77,21,82,88,251805.0,SUB, Netherlands,64,41.0,73.0,82.0,41.0,77,44,31,68,80,80,86,73,83,85,58,85,82,83,46,78,81,69,65.0,42.0,84,85,81,6.0,6.0,8.0,14.0,14.0
Matthijs de Ligt,187,89,22,85,89,235243.0,RCB, Netherlands,52,50.0,86.0,75.0,45.0,65,48,55,70,73,69,78,58,82,62,82,92,75,91,66,83,81,44,45.0,40.0,84,86,85,12.0,11.0,11.0,12.0,10.0
Virgil van Dijk,195,92,30,90,90,203376.0,CB, Netherlands,53,52.0,88.0,79.0,45.0,70,60,70,86,76,70,90,61,89,53,84,88,74,93,64,85,90,47,65.0,62.0,92,92,86,13.0,10.0,13.0,11.0,11.0
Nathan Aké,180,75,27,80,83,208920.0,LCB, Netherlands,68,48.0,79.0,80.0,52.0,68,62,59,73,77,80,76,74,83,68,63,89,76,76,56,74,81,62,66.0,53.0,79,82,80,10.0,7.0,7.0,16.0,10.0
Stefan de Vrij,190,78,30,85,85,198176.0,SUB, Netherlands,49,25.0,85.0,76.0,27.0,66,45,36,72,73,66,69,61,85,59,65,79,80,81,60,78,87,38,70.0,41.0,88,87,85,8.0,10.0,7.0,14.0,13.0
Steven Charles Bergwijn,175,78,24,83,86,225953.0,RS, Netherlands,76,80.0,62.0,79.0,76.0,86,78,65,64,84,89,87,79,82,90,83,68,74,79,81,54,34,79,78.0,68.0,52,36,32,11.0,14.0,12.0,14.0,13.0
Cody Mathès Gakpo,189,76,23,81,86,242516.0,SUB, Netherlands,82,82.0,60.0,75.0,75.0,87,77,75,66,84,86,87,83,78,71,84,74,78,77,81,60,39,79,79.0,68.0,43,38,28,15.0,11.0,7.0,9.0,5.0
Luuk de Jong,188,86,31,79,79,189805.0,SUB, Netherlands,66,79.0,93.0,79.0,83.0,68,63,69,62,79,42,52,52,75,56,83,89,73,87,71,54,40,83,69.0,67.0,45,43,37,16.0,10.0,8.0,8.0,11.0
Memphis Depay,178,78,28,87,87,202556.0,SUB, Netherlands,83,86.0,65.0,82.0,76.0,88,85,84,75,87,83,85,81,87,86,88,69,78,82,85,72,28,88,85.0,87.0,25,31,20,8.0,14.0,6.0,12.0,10.0
Steven Berghuis,182,75,30,82,82,200260.0,CAM, Netherlands,84,82.0,48.0,83.0,76.0,82,86,78,82,84,82,77,83,80,75,82,56,80,63,84,72,37,82,83.0,84.0,41,37,30,9.0,11.0,7.0,7.0,15.0
Noa Noëll Lang,176,69,23,79,86,239380.0,SUB, Netherlands,73,74.0,48.0,77.0,80.0,83,69,57,67,84,86,82,88,81,81,72,67,74,60,69,70,57,75,84.0,71.0,47,51,43,13.0,7.0,13.0,12.0,12.0
Justin Bijlow,188,76,24,80,86,232229.0,SUB, Netherlands,10,10.0,11.0,33.0,10.0,11,10,10,44,21,58,58,56,79,32,59,67,30,70,10,22,10,10,58.0,16.0,16,12,14,83.0,76.0,79.0,77.0,82.0
Davy Klaassen,179,70,29,81,81,203483.0,SUB, Netherlands,67,83.0,77.0,79.0,82.0,75,61,53,77,81,67,71,67,83,68,81,69,89,73,77,79,74,86,78.0,76.0,72,75,65,12.0,6.0,13.0,16.0,10.0
Marten Elco de Roon,186,76,31,79,79,208461.0,SUB, Netherlands,66,60.0,75.0,75.0,58.0,68,61,50,72,73,62,70,61,76,73,75,80,84,78,75,84,82,67,66.0,78.0,82,81,78,14.0,15.0,7.0,12.0,12.0
Tyrell Malacia,170,67,22,79,85,238041.0,SUB, Netherlands,71,50.0,58.0,75.0,59.0,78,50,48,59,75,85,85,84,75,89,65,86,82,72,62,77,77,65,60.0,46.0,74,80,80,9.0,9.0,12.0,8.0,8.0
Daley Blind,180,72,32,82,82,190815.0,LWB, Netherlands,85,56.0,76.0,86.0,66.0,78,83,62,87,83,47,41,71,83,70,74,72,76,70,64,64,86,70,82.0,54.0,81,77,78,12.0,9.0,10.0,14.0,10.0
Vincent Janssen,184,89,28,77,77,226537.0,LS, Netherlands,35,76.0,74.0,74.0,66.0,67,56,45,58,79,72,76,69,77,63,84,74,75,87,66,82,25,82,73.0,77.0,45,52,47,13.0,7.0,11.0,15.0,16.0
Wout Weghorst,197,84,29,79,79,223689.0,SUB, Netherlands,42,79.0,90.0,76.0,80.0,65,40,48,51,79,56,63,62,82,42,84,79,84,88,72,85,34,82,67.0,71.0,44,57,32,11.0,9.0,14.0,16.0,12.0
Teun Koopmeiners,184,77,24,80,84,240679.0,LCM, Netherlands,79,67.0,73.0,84.0,66.0,75,69,77,84,80,64,72,66,81,71,81,78,85,77,76,73,79,72,75.0,85.0,77,76,74,14.0,8.0,14.0,12.0,10.0
Frenkie de Jong,181,74,25,88,93,228702.0,RCM, Netherlands,79,72.0,72.0,91.0,70.0,89,84,64,90,92,80,84,86,90,82,68,76,90,74,68,75,83,77,89.0,53.0,76,77,80,7.0,13.0,10.0,10.0,9.0
Denzel Justus Morris Dumfries,188,80,26,83,85,233096.0,RWB, Netherlands,78,70.0,87.0,77.0,38.0,73,69,35,67,75,77,88,69,84,60,68,91,93,90,54,86,80,76,59.0,48.0,77,83,79,10.0,10.0,7.0,13.0,14.0
Andries Noppert,203,94,28,75,78,218212.0,RES, Netherlands,14,19.0,19.0,28.0,19.0,19,24,14,39,23,45,50,40,75,60,50,66,42,69,20,21,16,15,32.0,19.0,10,15,13,78.0,70.0,66.0,73.0,75.0
Kenneth Ina Dorothea Taylor,182,70,20,75,85,255009.0,RES, Netherlands,75,68.0,55.0,79.0,62.0,76,75,75,79,77,84,69,76,72,69,75,49,72,67,70,68,64,74,78.0,56.0,66,66,63,9.0,12.0,10.0,6.0,7.0
Xavi Quentin Shay Simons,174,58,19,76,87,245367.0,RES, Netherlands,62,65.0,50.0,76.0,56.0,79,72,65,70,82,87,85,87,72,82,67,53,71,58,63,74,61,73,76.0,63.0,48,61,52,9.0,11.0,5.0,8.0,10.0
Jeremie Agyekum Frimpong,171,63,21,78,84,253149.0,SUB, Netherlands,78,62.0,49.0,74.0,43.0,83,74,47,58,77,95,93,91,75,90,53,72,78,61,48,74,69,75,74.0,39.0,71,74,71,12.0,7.0,8.0,13.0,14.0
Jordan Pickford,185,77,28,84,86,204935.0,GK, England,17,19.0,15.0,55.0,20.0,14,18,16,62,43,56,48,64,79,62,67,79,45,72,13,45,24,18,69.0,45.0,25,20,12,86.0,79.0,89.0,80.0,88.0
Kyle Walker,183,83,32,85,85,188377.0,RB, England,75,48.0,74.0,82.0,57.0,77,76,71,81,80,87,94,66,86,69,86,84,86,82,69,85,81,67,66.0,63.0,77,84,83,12.0,6.0,16.0,15.0,8.0
Luke Shaw,181,75,26,80,81,205988.0,LB, England,82,51.0,75.0,80.0,56.0,78,83,54,70,80,74,77,75,77,78,74,83,74,83,54,85,78,76,78.0,38.0,79,81,78,10.0,12.0,13.0,7.0,7.0
Declan Rice,185,80,23,85,90,234378.0,CDM, England,55,61.0,72.0,84.0,50.0,78,58,58,82,79,70,74,55,84,67,74,74,93,80,65,85,87,58,79.0,71.0,85,86,80,8.0,11.0,14.0,5.0,9.0
John Stones,188,76,28,84,85,203574.0,RCB, England,62,52.0,85.0,84.0,44.0,72,52,37,75,83,68,76,66,84,59,55,84,77,79,44,82,83,52,67.0,52.0,86,86,82,7.0,15.0,11.0,10.0,8.0
Harry Maguire,193,100,29,82,83,203263.0,LCB, England,51,48.0,88.0,78.0,49.0,71,57,46,80,74,44,52,39,81,35,82,87,75,90,52,84,83,58,68.0,68.0,80,82,76,14.0,16.0,9.0,14.0,9.0
Jack Grealish,180,81,26,81,81,206517.0,SUB, England,81,68.0,36.0,83.0,72.0,88,78,74,80,87,77,77,85,76,84,76,32,80,70,75,60,44,75,84.0,58.0,48,49,43,11.0,6.0,11.0,10.0,13.0
Jordan Henderson,182,80,32,83,83,183711.0,SUB, England,82,73.0,64.0,85.0,71.0,78,80,74,87,83,66,66,66,85,67,77,78,86,78,75,83,81,78,80.0,64.0,77,81,76,7.0,13.0,7.0,9.0,13.0
